Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
jacobs-250g-12444,Jacobs 250g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-12444,250.0201143,shopify,12,deny,manual,5.7,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
fortuna-rosu-100g-11186,Fortuna Rosu 100g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-11186,100.0171176,shopify,24,deny,manual,1.8,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
fortuna-rosu-250g-11187,Fortuna Rosu 250g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-11187,250.0201143,shopify,12,deny,manual,3.7,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
fortuna-rendez-vous-gusto-italiano-100g-16859,Fortuna Rendez-Vous Gusto Italiano 100g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-16859,100.0171176,shopify,24,deny,manual,2.5,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
fortuna-rendez-vous-gusto-italiano-250g-16858,Fortuna Rendez-Vous Gusto Italiano 250g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-16858,250.0201143,shopify,12,deny,manual,5.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
fortuna-rendez-vous-250g-11190,Fortuna Rendez-Vous 250g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-11190,250.0201143,shopify,12,deny,manual,5.7,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
doncafe-selected-crema-250g-17385,Doncafe Selected Crema 250g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-17385,250.0201143,shopify,12,deny,manual,5.1,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
doncafe-selected-boabe-1kg-18831,Doncafe Selected Boabe 1kg,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-18831,999.9897389,shopify,6,deny,manual,19.4,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
doncafe-selected-100g-17384,Doncafe Selected 100g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-17384,100.0171176,shopify,24,deny,manual,2.1,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
doncafe-select-250g-11717,Doncafe Select 250g,,Basarabia,,Tea & Coffee,Tea & Coffee,TRUE,Title,Default Title,,,,,,,,MAR-11717,250.0201143,shopify,12,deny,manual,3.8,,TRUE,FALSE,,,,,,,,,FALSE,,,,lb,,,active
